produto,lead_h,n,corr,mae,bias,max_pred,max_obs,p99_pred,p99_obs,captura_pico_max
gfs,6,149,0.631,0.242,-0.025,3.47,4.0,1.48,3.61,0.87
wn2_ens_max,6,151,0.614,0.586,0.485,12.29,4.0,7.31,3.6,3.08
wn2_ens_mean,6,151,0.608,0.223,-0.09,5.33,4.0,1.82,3.6,1.33
wn2_ens_p90,6,151,0.645,0.283,0.087,9.31,4.0,3.66,3.6,2.33
wn2_mean,6,151,0.608,0.223,-0.09,5.33,4.0,1.82,3.6,1.33
wn_det_hres,6,151,0.727,0.196,-0.082,4.26,4.0,1.92,3.6,1.07
gfs,12,149,0.535,0.164,0.119,2.35,3.12,1.64,1.29,0.75
wn2_ens_max,12,151,0.396,0.391,0.388,7.92,3.12,4.74,1.28,2.54
wn2_ens_mean,12,151,0.423,0.109,0.035,2.77,3.12,1.09,1.28,0.89
wn2_ens_p90,12,151,0.413,0.174,0.13,4.85,3.12,1.73,1.28,1.56
wn2_mean,12,151,0.423,0.109,0.035,2.77,3.12,1.09,1.28,0.89
wn_det_hres,12,151,0.467,0.105,0.031,2.55,3.12,1.03,1.28,0.82
gfs,18,149,0.531,0.374,0.312,2.65,7.0,1.7,1.42,0.38
wn2_ens_max,18,151,0.346,1.275,1.249,8.54,7.0,5.58,1.4,1.22
wn2_ens_mean,18,151,0.44,0.355,0.288,2.5,7.0,2.08,1.4,0.36
wn2_ens_p90,18,151,0.402,0.684,0.637,3.75,7.0,3.33,1.4,0.54
wn2_mean,18,151,0.44,0.355,0.288,2.5,7.0,2.08,1.4,0.36
wn_det_hres,18,151,0.542,0.279,0.209,2.27,7.0,1.57,1.4,0.33
gfs,24,149,0.706,0.259,0.136,2.31,2.41,1.99,2.13,0.96
wn2_ens_max,24,151,0.696,1.436,1.435,8.33,2.41,6.94,2.12,3.45
wn2_ens_mean,24,151,0.695,0.262,0.15,2.11,2.41,2.05,2.12,0.87
wn2_ens_p90,24,151,0.68,0.616,0.585,3.85,2.41,3.57,2.12,1.6
wn2_mean,24,151,0.695,0.262,0.15,2.11,2.41,2.05,2.12,0.87
wn_det_hres,24,151,0.702,0.227,0.098,2.27,2.41,1.87,2.12,0.94
